e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm,e_furl,perf_furl,conf_furl
0.648457949,0.54,-0.245190354,0.03114924,0.7,-0.058672755,-8.819405038,0.52,-0.273600319,0.042362966,0.42,-0.479881372,-2.690494999,1,0.141432219
1.036785137,0.84,-0.10808139,1.228110689,0.76,-0.072260129,0.100030127,0.84,-0.248896001,0.274943955,0.94,-0.01791063,-0.645623474,0.9,0.292128557
1.378596127,0.96,-0.071024914,1.844450312,0.94,-0.157490026,0.26772546,0.98,0.361300647,0.440242587,0.98,0.326714602,-0.113676933,0.62,-0.379828885
1.729544227,0.98,0.424296657,2.785987996,0.92,0.28842291,2.21311837,0.98,0.161195673,0.940707038,0.98,0.1710774,4.310448392,0.8,-0.053731891
-0.197717196,0.1,-0.324653175,-0.991393321,0.1,-0.289856479,-8.501776761,0.22,-0.349706796,0.095048632,0.32,-0.256451651,-4.989720808,0.54,-0.170155844
0.578312771,0.7,0.232093963,-0.121517871,0.7,0.197297267,0.045617164,0.58,0.048367408,0.552244581,0.28,-0.058806417,-2.304037568,0.78,0.514643136
2.170076562,0.42,-0.320477572,2.287182893,0.46,-0.259235386,0.560780985,0.48,0.170851778,1.076816775,0.9,0.534129286,-1.182261415,0.4,-0.076900699
3.225236687,0.82,0.413036783,4.473301419,0.78,0.351794598,7.981725595,0.76,0.130487611,2.307636396,0.54,-0.218871219,-0.207216133,0.32,-0.267586593
0.957473207,0.48,-0.554189262,0.462037098,0.48,-0.419891864,-1.729905554,0.6,-0.453891205,0.19285573,0.54,-0.275394664,-2.418075643,0.96,0.511690085
1.483272054,0.64,-0.042499177,1.724708163,0.86,0.018699638,0.172673256,0.5,-0.147897134,0.407698269,0.6,-0.022099572,-1.427254263,0.7,-0.205696014
1.785433637,0.76,0.088398287,2.166957132,0.72,0.200596113,0.39193848,0.76,0.044199144,0.949830174,0.8,-0.158096937,-0.536852245,0.62,-0.175096607
2.265060183,0.96,0.508290151,3.038891181,0.78,0.200596113,1.175519589,0.98,0.557589196,1.781245673,0.9,0.455591172,0.361269875,0.56,-0.130897464
0.979169146,0.7,0.251357164,0.374143138,0.72,-0.169795842,-9.979865348,0.58,0.132722514,0.05160595,0.44,0.037814795,-3.678212408,0.74,0.117893183
1.057384414,0.54,-0.101580919,1.149845075,0.62,0.085268654,0.112510912,0.38,0.014087865,0.205617457,0.58,0.085268654,-0.447708781,0.72,-0.095649186
1.225910095,0.4,-0.157932377,1.86265226,0.6,0.215766769,0.274077359,0.72,-0.240976632,0.564440079,0.64,-0.193522772,-0.075855123,0.5,0.017053731
1.845987838,0.86,0.008156132,3.002821219,0.56,-0.131239581,1.989321784,0.82,0.094166253,1.003090654,0.84,0.070439323,1.441139141,0.54,-0.039297728
0.964837601,0.4,-0.024113435,0.408064343,0.62,0.074583415,-0.17753839,0.56,-0.277584892,0.090287555,0.54,-0.347121309,-1.841666495,0.52,0.132904282
1.239240955,0.32,-0.34936442,1.379983321,0.62,0.135147392,0.152946194,0.54,-0.037572096,0.274403354,0.6,0.249546014,-0.390942274,0.74,0.1149594
1.43397882,0.68,0.30338066,2.035010683,0.44,0.088042077,0.309750841,0.42,0.139633612,0.432849162,0.34,-0.158700049,0.00301747,0.54,-0.129539616
1.543740162,0.82,0.070097195,2.832550755,0.54,-0.297772884,1.0926087,0.7,0.175523376,0.759477671,0.74,0.256275345,3.372019443,0.42,-0.118324065
0.897027509,0.88,-1.178479722,0.201683682,0.88,-0.910454138,-1.271607158,0.68,0.057163649,0.24405871,0.66,-0.050349439,-13.68817955,1,-0.021578331
1.212962851,0.98,-0.173005214,1.143052993,1,-0.618200252,0.299605355,1,0.461473428,0.630797898,0.98,0.070792068,-1.141936404,1,0.247961522
1.640467888,1,0.287332512,1.912776618,0.98,0.543243945,0.582778592,1,-0.010978449,0.812635047,1,-0.606086102,-0.541711728,0.9,-0.353203206
2.112493526,0.78,1.064152424,3.195828124,0.78,0.985410445,3.05970701,0.96,-0.507658627,1.251404333,1,0.585643472,1.802331561,0.74,0.126820015
0.583632229,0.9,-0.661094906,-0.446915543,0.98,-0.260707076,-4.512688253,0.96,-0.264346965,0.089287614,0.6,-0.618326206,-6.767067442,1,0.305295721
1.030547772,1,0.303475776,0.630742984,0.88,-0.193369123,0.050960379,0.62,-0.026844184,0.382934045,0.9,-0.13422092,-0.763965955,0.92,0.173349731
